408402 [3, 1, 1, 3] 4 [0, 3]|Found route: [POIs: (2728, 392427, movie_theater, 5.198071642659177), (1599, 392546, coffee_shop, 0.11239880702171251), (1599, 392546, coffee_shop, 0.0), (2770, 392427, movie_theater, 0.11239880702171248), Length: 5.422869256702602, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 80 ms|Time for KNN: 79 ms|Heap fetches: 25|Max heap size: 21
23994 [6, 2, 2, 2] 4 [1, 3]|Found route: [POIs: (4461, 24323, gas_station, 0.3379491684911866), (2393, 24254, atm_bank, 0.07724950337882128), (2207, 25336, atm_bank, 0.7626883713240261), (2207, 25336, atm_bank, 0.0), Length: 1.177887043194034, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 16 ms|Time for KNN: 15 ms|Heap fetches: 17|Max heap size: 9
173951 [3, 4, 5, 4] 4 [1, 3]|Found route: [POIs: (2717, 174615, movie_theater, 0.8008332752481939), (3232, 174967, pharmacy, 0.279725015102007), (4183, 175521, pub_bar, 0.36286541581682197), (3300, 175521, pharmacy, 0.0), Length: 1.4434237061670228, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 45 ms|Time for KNN: 44 ms|Heap fetches: 50|Max heap size: 30
195897 [0, 6, 0, 4] 4 [0, 2]|Found route: [POIs: (195, 203486, restaurant, 2.8785029073897728), (4496, 205493, gas_station, 0.8875877305327121), (1378, 204958, restaurant, 0.7277781312112683), (3304, 204958, pharmacy, 0.0), Length: 4.493868769133753, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 309 ms|Time for KNN: 309 ms|Heap fetches: 73|Max heap size: 73
154084 [1, 4, 1, 1] 4 [0, 2]|Found route: [POIs: (49, 153898, coffee_shop, 0.13014540924759646), (3249, 150463, pharmacy, 0.7278455671462299), (47, 155097, coffee_shop, 0.24027442018974668), (47, 155097, coffee_shop, 0.0), Length: 1.0982653965835731, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 34 ms|Time for KNN: 33 ms|Heap fetches: 20|Max heap size: 20
403141 [4, 3, 4, 4] 4 [0, 2]|Found route: [POIs: (3129, 335391, pharmacy, 4.136030526670046), (2697, 335053, movie_theater, 0.3382816527260006), (3131, 335056, pharmacy, 0.03908298366158162), (3131, 335056, pharmacy, 0.0), Length: 4.513395163057629, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 140 ms|Time for KNN: 140 ms|Heap fetches: 27|Max heap size: 25
239938 [1, 6, 1, 3] 4 [0, 2]|Found route: [POIs: (350, 241689, coffee_shop, 1.8684974984076304), (4448, 241987, gas_station, 0.19361271970193147), (835, 241496, coffee_shop, 0.4510597165641303), (2721, 241637, movie_theater, 0.02460201233619288), Length: 2.537771947009884, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 57 ms|Time for KNN: 56 ms|Heap fetches: 27|Max heap size: 27
365343 [4, 1, 4, 1] 4 [0, 2]|Found route: [POIs: (2859, 384110, pharmacy, 2.408277324229786), (1639, 384764, coffee_shop, 0.29102614125609), (2858, 384663, pharmacy, 0.05625966448763131), (1639, 384764, coffee_shop, 0.05625966448763131), Length: 2.811822794461139, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 17 ms|Time for KNN: 16 ms|Heap fetches: 12|Max heap size: 10
371382 [0, 5, 4, 5] 4 [1, 3]|Found route: [POIs: (1221, 382445, restaurant, 1.8759001509240598), (3950, 382508, pub_bar, 0.017310297132330198), (2948, 382438, pharmacy, 0.26496909493770476), (3953, 382736, pub_bar, 0.12709776926739608), Length: 2.2852773122614907, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 87 ms|Time for KNN: 86 ms|Heap fetches: 53|Max heap size: 53
8587 [0, 3, 0, 5] 4 [0, 2]|Found route: [POIs: (1177, 12615, restaurant, 4.606758896733552), (2775, 12609, movie_theater, 0.13040901742066338), (1471, 12614, restaurant, 0.09991364814858597), (4093, 12641, pub_bar, 0.27098049612738845), Length: 5.108062058430191, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 340 ms|Time for KNN: 340 ms|Heap fetches: 102|Max heap size: 102
173227 [3, 0, 3, 6] 4 [0, 2]|Found route: [POIs: (2745, 186487, movie_theater, 1.25318593058002), (1104, 186587, restaurant, 0.09775379129233042), (2687, 187217, movie_theater, 0.7210032486669805), (4488, 187942, gas_station, 0.5995013420376797), Length: 2.67144431257701, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 34818 ms|Time for KNN: 34762 ms|Heap fetches: 19018|Max heap size: 19018
54289 [4, 6, 3, 4] 4 [0, 3]|Found route: [POIs: (2862, 56943, pharmacy, 2.1400415997410853), (4401, 55518, gas_station, 0.219119750717952), (2704, 56366, movie_theater, 0.9800847591519595), (2875, 56365, pharmacy, 0.056964730243144614), Length: 3.3962108398541413, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 81 ms|Time for KNN: 81 ms|Heap fetches: 38|Max heap size: 38
238752 [5, 1, 2, 5] 4 [0, 3]|Found route: [POIs: (3614, 237707, pub_bar, 0.8121460741683943), (1059, 237299, coffee_shop, 0.7730223779215204), (2419, 237278, atm_bank, 0.09106933896653586), (4190, 237249, pub_bar, 0.0751415679884889), Length: 1.7513793590449394, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 23 ms|Time for KNN: 22 ms|Heap fetches: 15|Max heap size: 15
36269 [0, 2, 1, 0] 4 [0, 3]|Found route: [POIs: (1767, 34022, restaurant, 0.9505395472924073), (2505, 34018, atm_bank, 0.07794039394115228), (1543, 35684, coffee_shop, 0.6160658299251037), (1543, 35684, restaurant, 0.0), Length: 1.6445457711586635, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 26 ms|Time for KNN: 25 ms|Heap fetches: 20|Max heap size: 20
141567 [0, 2, 5, 2] 4 [1, 3]|Found route: [POIs: (68, 138939, restaurant, 1.075714625123651), (2431, 138939, atm_bank, 0.0), (4186, 138902, pub_bar, 0.13693144823189385), (2658, 139498, atm_bank, 0.12469200994661914), Length: 1.3373380833021637, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 145 ms|Time for KNN: 144 ms|Heap fetches: 179|Max heap size: 161
191739 [0, 0, 1, 0] 4 [1, 3]|Found route: [POIs: (817, 61715, restaurant, 1.3166889322512774), (817, 61715, restaurant, 0.0), (1594, 61694, coffee_shop, 0.14929237438721177), (1594, 61694, restaurant, 0.0), Length: 1.465981306638489, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 11 ms|Time for KNN: 10 ms|Heap fetches: 12|Max heap size: 8
