POIId,Longitude,Latitude,EdgeId,Distance_from_start_node
578,13.558138,52.524986,350453,0.75
579,13.552193,52.534504,462321,0.177
580,13.587412,52.521152,335300,0.508
581,13.475464,52.4228,389564,0.27
582,13.504937,52.57308,433850,0.885
583,13.341813,52.446754,300849,0.678
584,13.339735,52.4481,421661,0.395
585,13.335933,52.53026,356742,0.734
586,13.312589,52.49969,3629,0.496
587,13.311984,52.49833,3626,0.159
588,13.311092,52.49635,3622,0.245
